Product_ID,Name,Width,Height,Depth,Weight (lbs),lbs,oz
M-203J,Justinian Cross--Large 14k,1.387755102,0.244897959,1.632653061,0.340117395,0,5.441878326
M-204E,St Xenia Silver Medal,0.734693878,0.244897959,1.346938776,0.192001755,0,3.072028087
M-204J,St Xenia 14k Gold Medal,0.734693878,0.244897959,1.346938776,0.2468594,0,3.949750398
M-207E,Smolensk Silver Cross,0.775510204,0.244897959,1.346938776,0.09874376,0,1.579900159
M-207J,Smolensk 14k Cross,0.775510204,0.244897959,1.346938776,0.131658347,0,2.106533545
M-208E,Novgorod Silver Cross,0.653061224,0.204081633,1.551020408,0.087772231,0,1.404355697
M-208J,Novgorod 14k Cross,0.653061224,0.204081633,1.551020408,0.087772231,0,1.404355697
M-209E,"Optina Cross, silver",1.387755102,0.244897959,2.367346939,0.586976795,0,9.391628723
M-211E,"Armenian Cross, silver",0.571428571,0.244897959,0.979591837,0.060343409,0,0.965494542
M-211J,"Armenian Cross, 14k",0.571428571,0.244897959,0.979591837,0.076800702,0,1.228811235
M-217E,Round Chain for Priest's Cross,0,0,0,0.01,0,0.16
M-222E,"Infants Cross, silver",0.326530612,0.163265306,0.653061224,0.032914587,0,0.526633386
M-222J,"Infants Cross, 14k",0.326530612,0.163265306,0.653061224,0.032914587,0,0.526633386
M-223E,Cherson Silver Cross,0.571428571,0.204081633,0.816326531,0.043886116,0,0.702177848
M-223J,Cherson Small 14k Cross,0.571428571,0.204081633,0.816326531,0.054857644,0,0.877722311
M-225E,"Pochaev Cross, silver",0.816326531,0.204081633,1.265306122,0.09874376,0,1.579900159
M-225J,"Pochaev Cross, 14k",0.816326531,0.204081633,1.265306122,0.131658347,0,2.106533545
M-226E,Tver Silver Cross,0.816326531,0.204081633,1.673469388,0.142629875,0,2.282078008
M-226J,Tver 14k Cross,0.816326531,0.204081633,1.673469388,0.181030227,0,2.896483625
M-227E,Rostov Silver Cross,1.224489796,0.285714286,1.510204082,0.2468594,0,3.949750398
M-227J,Rostov 14k Cross,1.224489796,0.285714286,1.510204082,0.312688573,0,5.00301717
M-228E,Valaam Silver Cross,0.857142857,0.367346939,1.673469388,0.318174338,0,5.090789402
M-228J,Valaam 14k Cross,0.857142857,0.367346939,1.673469388,0.411432333,0,6.58291733
M-232E,St Seraphim Silver Medal,0.408163265,0.244897959,0.816326531,0.060343409,0,0.965494542
M-232J,St Seraphim 14k Medal,0.408163265,0.244897959,0.816326531,0.093257996,0,1.492127928
M-236E,"Danielov Cross, silver",0.734693878,0.244897959,1.346938776,0.115201053,0,1.843216852
M-236J,"Danielov Cross, 14k",0.734693878,0.244897959,1.346938776,0.153601404,0,2.45762247
M-237E,"Kazan Medal Filigree, silver",0.734693878,0.244897959,0.775510204,0.274288222,0,4.388611553
M-237J,Kazan 14k Mother of God--Filigree,0.734693878,0.244897959,0.775510204,0.076800702,0,1.228811235
M-243E,"Golgotha Russian Baptismal Cross, silver",1.102040816,0.244897959,1.836734694,0.153601404,0,2.45762247
M-243J,"Golgotha Russian Baptismal Cross, 14k",1.102040816,0.244897959,1.836734694,0.186515991,0,2.984255856
M-244E,St Sergius Silver Cross,0.734693878,0.204081633,1.551020408,0.175544462,0,2.808711394
M-244J,St Sergius 14k Cross,0.734693878,0.204081633,1.551020408,0.230402107,0,3.686433705
M-245E,"Georgian Cross, silver",0.693877551,0.204081633,1.142857143,0.109715289,0,1.755444621
M-245J,"Georgian Cross, 14k",0.693877551,0.204081633,1.142857143,0.131658347,0,2.106533545
M-246E,"Vologda Cross, silver",0.93877551,0.204081633,1.387755102,0.175544462,0,2.808711394
M-246J,"Vologda Cross, 14k",0.93877551,0.204081633,1.387755102,0.19748752,0,3.159800318
M-248E,"Byzantine Reliquary Cross, silver",3.125,2.25,0.31,0.16,0,2.56
M-249E,"Christ the Almighty, silver",0.775510204,0.244897959,1.265306122,0.087772231,0,1.404355697
M-249J,"Christ the Almighty, 14k",0.775510204,0.244897959,1.265306122,0.373031982,0,5.968511712
M-250E,"Light & Life Cross, silver",0.897959184,0.244897959,1.591836735,0.137144111,0,2.194305777
M-250J,"Light and Life Cross, 14k",0.897959184,0.244897959,1.591836735,0.175544462,0,2.808711394
M-252E,Celtic Silver Cross,0.734693878,0.244897959,1.428571429,0.087772231,0,1.404355697
M-252J,Celtic 14k Cross,0.734693878,0.244897959,1.428571429,0.120686818,0,1.930989083
M-401E,Mt. Athos Byzantine Baptismal Cross -- Sterling Silver,0.857142857,0.244897959,1.183673469,0.126172582,0,2.018761314
M-401J,Mt. Athos Byzantine Baptismal Cross -- 14 kt Gold,0.857142857,0.244897959,1.183673469,0.153601404,0,2.45762247
M-450E,"20"" Silver Curb Chain",1,1,.25,0.0125,0,0.2
M-450J,"20"" 14k Gold Curb Chain",1,1,.25,0.001,0,0.016
M-451E,"20"" Silver Box Chain",1,1,.25,0.0125,0,0.2
M-451J,"20"" 14k Gold Box Chain",1,1,.25,0.00625,0,0.1
M-470E,"24"" Silver Curb Chain",1,1,.25,0.01875,0,0.3
M-470J,"24"" 14k Gold Curb Chain",1,1,.25,0.00625,0,0.1
M-471E,"24"" Silver Box Chain",1,1,.25,0.01875,0,0.3
M-471J,"24"" 14k Gold Box Chain",1,1,.25,0.00625,0,0.1
M-475E,"20"" Silver Round Chain",1,1,.25,0.01875,0,0.3
M-475J,"20"" 14k Round Chain",1,1,.25,0.01,0,0.16
M-477E,"24"" Silver Round Chain",1,1,.25,0.01875,0,0.3
M-477J,"24"" 14k Round Chain",1,1,.25,0.01,0,0.16
M-495E,"20"" Double Link Silver Chain",1,1,.25,0.0125,0,0.2
M-496E,"24"" Double Link Silver Chain",1,1,.25,0.01875,0,0.3
M-640E,Justinian Silver Cross--Medium,0.79,0.24,0.98,0.087772231,0,1.404355697
M-640J,Justinian 14k Cross--Medium,0.79,0.24,0.98,0.104229524,0,1.66767239
M-641E,Justinian Silver Cross--Small,0.669291339,0.236220472,0.62992126,0.032914587,0,0.526633386
M-641J,Justinian 14k Cross--Small,0.669291339,0.236220472,0.62992126,0.043886116,0,0.702177848
M-647E,Russian Reliquary Silver Cross,0.787401575,0.31496063,1.181102362,0.219430578,0,3.510889242
M-651E,Kazanskaya,0.708661417,0.275590551,0.748031496,0.001,0,0.016
M-653E,Mother of God of the Sign Silver,0.275590551,0.669291339,0.94488189,0.126172582,0,2.018761314
M-653J,Mother of God of the Sign 14k,0.275590551,0.669291339,0.94488189,0.164572933,0,2.633166932
M-654E,St George Silver Medal,0.787401575,0.236220472,1.023622047,0.2468594,0,3.949750398
M-655E,St Nicholas Silver Medal,0.472440945,0.275590551,0.826771654,0.093257996,0,1.492127928
M-656E,St Panteleimon Silver Medal,0.669291339,0.275590551,0.826771654,0.09874376,0,1.579900159
M-659E,Blachernae Reliquary Cross Silver,2.75,2.126,.4375,0.14375,0,2.3
M-662E,Protection Silver Cross,0.62992126,0.196850394,0.984251969,0.153601404,0,2.45762247
M-663E,St Ann / Protection Medal,0.590551181,0.196850394,0.826771654,0.115201053,0,1.843216852
R-20M,St Nicholas,4.5,6.125,0.5,0.375,0,6
R-22M,Vladimirskaya,4,6,0.5,0.5,0,8
R-24M,St Demetrios on a Horse,4.5,6.125,0.5,0.43125,0,6.9
R-26M,Sinai Christ (large),13,24-3/4,0.75,6.4375,6,7
R-27M,Wedding at Cana,4-3/4,5-1/8,0.5,0.375,0,6
R-28M,Sinai Christ (medium),8,14 1/8,0.75,2.156,2,2.496
R-29M,Ss Cyprian & Justina,6-3/4,9-1/4,0.5,1.4375,1,7
R-30M,Guardian Angel w Girl,3 7/8,5 9/16,0.5,0.30625,0,4.9
