Order_Number,Gross Volume,Net Volume
36723,106.39999999999999,28.3607291655
36899,106.39999999999999,20.7841666655
36860,142.5,60.2499999975
36576,361.259765625,82.713333337
36982,112.5,52.25390625
36981,864.0,61.5935919075
36946,99.75,40.5
36991,64.39999999999999,22.265625
36989,64.39999999999999,0
36954,361.259765625,155.25
36992,361.259765625,60.2499999975
36935,590.625,100.7109375
36947,361.259765625,219.54296875
36995,106.39999999999999,17.476666665499998
36966,2082.5,470.994873046875
37021,361.259765625,119.3281250025
36958,1842.75,971.16796875
36937,361.259765625,143.5609374975
37024,361.259765625,58.2500000025
36944,361.259765625,167.4
36943,361.259765625,173.85
36939,1232.0,331.390380859375
36984,88.0,66.0
36975,88.0,66.0
37020,88.0,66.0
36953,106.39999999999999,88.7625
37045,106.39999999999999,55.5
36990,106.39999999999999,43.55859375
36964,106.39999999999999,41.85
37070,137.7,57.5000000025
37026,137.7,124.19999999999999
37073,137.7,53.625
36959,64.39999999999999,10.125
36970,360.0,161.0
37040,106.39999999999999,17.150000000000002
37043,137.7,100.750000005
37063,180.0,10.546875
37061,486.0,203.8564453125
37036,2550.0,422.830810546875
36938,2550.0,630.703125
37048,1196.25,533.203125
36955,1690.0,586.0
36967,361.259765625,173.2500000025
37072,361.259765625,177.375
37092,237.5,36.05625
37082,237.5,62.1249999975
37096,361.259765625,61.80203046
37097,361.259765625,61.2500000025
37059,361.259765625,154.921875
36972,361.259765625,346.0218750000001
37033,707.4375,378.52055664062505
37019,590.625,98.31849705285
37066,361.259765625,167.4
37080,361.259765625,230.546875
36952,361.259765625,125.55000000000001
37004,361.259765625,121.376953125
37111,900.375,368.90625
37115,575.6400000000001,168.3125000025
37136,361.259765625,117.0
37041,361.259765625,214.35
37081,707.4375,330.0
37156,246.0,86.1328125
37167,246.0,60.9375
37158,246.0,52.25390625
37149,246.0,60.9375
37164,246.0,100.775390625
37163,246.0,52.25390625
37176,246.0,90.15625
37171,768.0,302.734375
37183,480.0,161.0
37166,361.259765625,109.875
37173,590.625,164.80828494
37194,243.0,82.96875
37145,128.25,10.125
37114,180.0,18.92578125
37152,361.259765625,166.11205469
37205,246.0,58.875
37148,864.0,93.515625
37199,255.0,57.2499999975
37174,199.64,35.859375
37143,717.5999999999999,311.860986328125
37142,769.5,233.475
37098,707.4375,275.25
37185,707.4375,342.499999995
37191,707.4375,115.39500000000001
37117,707.4375,198.0
37130,900.375,308.75
37103,82.6669921875,40.5
37123,82.6669921875,35.4375
37202,361.259765625,109.3085937525
37208,240.0,6.926400000196999
37120,707.4375,173.8750000025
37228,106.39999999999999,18.62
37240,106.39999999999999,38.59375
37184,106.39999999999999,41.85
37230,137.7,60.9375
37216,106.39999999999999,37.9189453125
37219,64.39999999999999,0.210796522241073
37210,106.39999999999999,46.9125
37212,106.39999999999999,17.476666665499998
37153,106.39999999999999,44.6
37197,106.39999999999999,66.0
37221,128.25,52.25390625
37231,246.0,59.625
37211,96.0,35.859375
37227,144.0,65.863037109375
37214,3306.0,1201.4296875125
37244,768.0,237.7099609375
37150,361.259765625,132.0
37180,361.259765625,140.7375
37162,361.259765625,150.8625
37189,216.0,125.28984374999999
37196,245.0,93.98671875
37215,1552.5,322.0
37233,82.6669921875,0.4957118202693436
37237,361.259765625,62.1249999975
37239,192.0,54.9999999975
37259,960.0,272.66796875
37247,900.375,342.0
37256,361.259765625,105.75
37250,768.0,196.3828125
37246,216.0,63.28125
37254,120.0,57.1875
37223,352.0,89.92450420336607
37249,707.4375,330.0
37251,590.625,132.0
37252,590.625,200.75
37179,900.375,269.8749999975
37011,361.259765625,110.1249999975
37297,216.0,70.390625
37031,878.4,99.7150000035
36941,878.4,203.945468715
37264,878.4,290.7070312525
37289,361.259765625,58.7499999975
37275,361.259765625,115.6250000025
37157,361.259765625,141.0890625
37213,361.259765625,132.791015625
37293,361.259765625,77.0234375
37268,361.259765625,117.6249999975
37311,64.39999999999999,5.0625
37203,590.625,323.4609375
37262,590.625,264.0
37112,590.625,134.011755025
36978,283.5,59.0000000025
37129,2182.125,660.5283203225
37306,128.25,10.125
36999,707.4375,328.30000003500004
36965,768.0,547.8200001015001
37267,707.4375,93.515625
37261,900.375,389.55
37317,361.259765625,164.8875
36942,707.4375,203.0000000025
37324,255.0,59.0625
37334,600.0,213.3749999975
37326,590.625,248.296875
37325,216.0,70.630859375
37330,128.25,42.1250000025
37329,768.0,196.3828125
37327,361.259765625,168.0000000075
37248,361.259765625,63.0
37125,361.259765625,63.0
37286,63.0,0.4957118202693436
37342,707.4375,251.10000000000002
37343,64.39999999999999,5.0625
37354,352.0,140.98828125
37323,590.625,264.0
37345,768.0,244.5078125
37350,106.39999999999999,35.6015625
37347,64.39999999999999,0.7998046875
37393,192.0,52.25390625
37389,361.259765625,162.2499999975
37397,361.259765625,114.0
37381,361.259765625,113.7500000025
37400,522.5,241.193359375
37358,562.5,196.3828125
37328,89.25,0.8105191379453
37407,528.0,136.0000000025
37378,356.40000000000003,71.71875
37382,268.79999999999995,52.25390625
37406,700.0,55.60546875
37396,500.0,196.3828125
37415,361.259765625,173.7584702175
37420,1592.5,505.01171875
37386,364.0,161.0
37409,717.5999999999999,263.4521484375
37001,1344.0,348.48
37369,106.39999999999999,5.0625
37360,64.39999999999999,15.1875
37363,64.39999999999999,0
37383,360.0,202.85
37370,361.259765625,70.984375
37359,360.0,74.453125
37038,1344.0,345.59999999999997
36961,1344.0,241.00000005
37391,336.0,65.8125
37421,707.4375,330.3125000025
37388,64.39999999999999,20.25
37423,106.39999999999999,41.85
37424,106.39999999999999,41.85
37100,707.4375,248.1718749975
37417,361.259765625,180.524414055
37351,361.259765625,67.823486325625
37093,361.259765625,72.5703125025
36963,361.259765625,161.321428575
36988,64.39999999999999,16.0883333345
37428,361.259765625,64.3749999975
37113,361.259765625,61.283557050000006
37427,361.259765625,162.5625
37440,137.7,52.25390625
37431,192.0,91.31640625
37438,361.259765625,41.85
37434,192.0,52.25390625
37435,936.0,395.76953125
37430,768.0,280.3949424325
37432,361.259765625,198.0
37443,975.0,381.50000001750004
37032,707.4375,134.9999999925
37451,707.4375,283.890625
37444,988.0,208.640625
37448,192.0,54.78515625
37285,361.259765625,177.9609375
37220,361.259765625,148.6914062525
37455,707.4375,406.734375
37458,361.259765625,60.2499999975
37182,106.39999999999999,19.0283333345
37015,106.39999999999999,19.0283333345
37442,144.0,65.863037109375
37091,64.39999999999999,0.2464
37454,64.39999999999999,20.25
37452,64.39999999999999,17.265625
37449,64.39999999999999,22.88671875
37466,621.6,62.1249999975
37464,137.7,68.2939453125
37460,64.39999999999999,8.25
37467,1170.9599999999998,386.28125
37461,888.75,93.515625
37488,864.0,219.54296875
37485,864.0,93.515625
37491,864.0,219.54296875
37500,361.259765625,63.9999999975
37492,106.39999999999999,21.328125
37476,64.39999999999999,21.328125
37493,158.7,62.1249999975
37465,163.875,60.882031247499995
37472,600.0,309.96875
37486,590.625,330.0
37509,210.0,27.8203125
37478,216.0,161.0
37507,1435.5,462.73750000000007
37474,768.0,360.6679687525
37506,361.259765625,121.54280822250001
37489,216.0,65.94375
37490,64.39999999999999,41.85
37484,106.39999999999999,66.0
37510,128.25,41.85
37519,361.259765625,181.3125
37527,96.0,35.859375
37514,106.39999999999999,11.0
37531,361.259765625,116.8749999975
37532,361.259765625,103.750000005
37525,361.259765625,201.3749999925
37534,756.0,187.27734375
37523,2244.0,1674.0
37544,1716.0,639.77929687
37547,864.0,93.515625
37521,590.625,176.99333333799999
37542,361.259765625,167.4
37539,361.259765625,196.5625
37552,707.4375,219.54296875
37546,590.625,106.4189453125
37538,361.259765625,114.250000005
37483,361.259765625,117.8520710025
37513,361.259765625,238.5
37540,707.4375,109.8984375025
37566,162.0,52.25390625
37560,192.0,22.0
37520,3600.0,241.3125
37236,1080.0,460.65909094999995
37238,1344.0,293.76
37398,9.9,1.467256
37529,64.39999999999999,15.1875
37537,64.39999999999999,21.328125
37551,64.39999999999999,21.328125
37567,64.39999999999999,0
37570,2448.0,1714.625
37557,64.39999999999999,10.1689453125
37562,106.39999999999999,34.1845703125
37571,106.39999999999999,22.328125
37545,64.39999999999999,15.1875
37536,240.0,58.4296875
37561,137.7,30.4189453125
37453,1056.0,483.4375
37446,1120.0,514.835937495
37563,361.259765625,108.375
37583,960.0,374.53125
37578,400.0,106.171875
37580,106.39999999999999,35.859375
37579,128.25,60.9375
37573,64.39999999999999,21.328125
37581,96.0,35.859375
37320,1372.0,347.04
37332,1400.0,325.43999999999994
37522,361.259765625,87.934570315
37607,137.7,54.375
37593,64.39999999999999,21.328125
37592,64.39999999999999,21.328125
37586,64.39999999999999,15.5390625
37589,880.0000000000001,196.3828125
37598,819.84,219.54296875
37611,707.4375,219.54296875
37596,590.625,132.7470703125
37585,361.259765625,158.558593755
37613,768.0,187.03125
37617,590.625,159.80709631317228
37623,768.0,93.515625
37624,707.4375,196.3828125
37605,64.39999999999999,10.125
37614,128.25,55.5
37612,106.39999999999999,55.5
37619,707.4375,298.01250000000005
37616,361.259765625,209.25
37627,768.0,232.2421875
37618,106.39999999999999,19.436666665500002
37222,707.4375,108.28999996499999
37291,551.0,123.64248708000001
37224,707.4375,227.115
37628,2142.0,861.753662109375
37595,106.39999999999999,37.9189453125
37594,106.39999999999999,37.9189453125
37028,518.88,111.22999996499999
37281,858.0,144.55000003499998
37411,1400.0,214.616289155
37564,64.39999999999999,0.5058117789798808
37366,304.5,100.9399999965
37095,280.0,90.8950000035
37477,128.25,4.984669500137899
37295,106.39999999999999,20.375833334499998
37375,2040.5,514.147412109375
37558,129.6,5.122
37394,707.4375,142.9405729155
37419,5400.0,469.125
37426,6048.0,1066.725
37516,888.0,239.96875005
37511,106.39999999999999,17.0275
37572,106.39999999999999,16.9458333345
37524,106.39999999999999,19.0283333345
37441,707.4375,406.209999993
37632,768.0,226.29296875
37629,128.25,29.7500000025
37630,901.1200000000001,299.90234375
37642,1120.0,199.248308
37635,64.39999999999999,15.1875
37650,900.375,325.125
37639,64.39999999999999,0
37658,361.259765625,123.874999995
37636,137.7,21.0291666655
37661,64.39999999999999,11.73046875
37666,1023.0,219.54296875
37694,976.0,94.7265625
37678,137.7,52.25390625
37698,897.0000000000001,219.54296875
37670,634.8800000000001,196.3828125
37674,361.259765625,70.630859375
37668,590.625,264.0
37657,64.39999999999999,15.1875
37654,106.39999999999999,41.85
37672,361.259765625,129.2625
37671,361.259765625,54.828125
37686,1293.6000000000001,363.85
37676,590.625,330.0
37710,707.4375,99.0
37641,900.375,528.0
37702,162.0,60.9375
37716,64.39999999999999,2.3994140625
37652,707.4375,222.448486328125
37704,361.259765625,83.7
37701,361.259765625,127.249999995
37719,216.0,62.1
37712,64.39999999999999,10.125
37706,106.39999999999999,37.9189453125
37724,1080.0,386.953125
37739,900.0,385.0546875
37742,707.4375,210.234375
37740,960.0,196.3828125
37746,1092.0,454.0
37733,507.0,60.9375
37736,429.0,67.79296875
37725,614.25,145.9609375
37737,900.0,196.3828125
37730,804.0799999999998,180.8578125
37732,590.625,240.0
37728,106.39999999999999,17.476666665499998
37726,64.39999999999999,41.85
37743,137.7,110.6770304625
37718,106.39999999999999,18.13
37762,1430.6499999999999,528.0
37759,2142.0,547.65185546875
37761,960.0,360.3125000025
37755,1321.65,408.21484375
37760,1142.3999999999999,344.921875
37769,64.39999999999999,0
37767,106.39999999999999,19.436666665500002
37765,106.39999999999999,13.5
37782,137.7,60.9375
37773,590.625,330.0
37776,64.39999999999999,0.2570357589513893
37785,988.0,213.609375
37781,707.4375,176.49999999
37772,64.39999999999999,0.24234800131244633
37779,1132.1599999999999,382.0078124975
37792,64.39999999999999,17.265625
37788,361.259765625,35.229736328125
37687,106.39999999999999,21.328125
37789,590.625,0
37797,361.259765625,249.75
37791,64.39999999999999,10.125
37808,64.39999999999999,0
37811,106.39999999999999,15.50390625
37822,64.39999999999999,10.125
37807,64.39999999999999,10.125
37805,1428.0,415.92578125
37814,1487.5,454.0
37644,1531.25,304.5
37836,106.39999999999999,21.328125
37832,1957.7599999999995,1714.625
37727,361.259765625,96.6
37768,1000.0,383.5164473625
37842,1000.0,385.0546875
37847,137.7,35.859375
37844,1075.2,208.69375
37845,1216.5120000000004,219.54296875
37852,734.3999999999999,242.970703125
37855,128.25,66.0
37856,106.39999999999999,0
37864,106.39999999999999,21.328125
37859,1957.7599999999995,1714.625
37858,1584.24,591.249999975
37860,936.9599999999999,249.609375
37862,2945.28,1729.8125
37873,936.9599999999999,196.3828125
37874,361.259765625,198.0
37865,2611.2000000000003,1280.2499999699999
37878,137.7,60.9375
37892,137.7,51.375
37900,106.39999999999999,20.25
37887,64.39999999999999,12.0
37881,707.4375,213.50000001
37895,137.7,46.6015625
37885,137.7,60.9375
37884,137.7,60.9375
37883,798.5999999999999,63.082901557499994
37902,707.4375,196.3828125
37831,137.7,54.75
37905,64.39999999999999,17.757973001312447
37908,137.7,66.0
37915,128.25,48.31640625
37922,106.39999999999999,83.7
37799,361.259765625,142.986328125
37909,137.7,66.0
37933,361.259765625,198.0
37927,137.7,100.775390625
37937,106.39999999999999,17.265625
37940,361.259765625,264.0
37925,137.7,78.203125
37936,106.39999999999999,10.1689453125
37930,137.7,52.25390625
37949,64.39999999999999,10.125
37953,137.7,63.2939453125
37919,137.7,43.7499999975
37955,137.7,52.25390625
37954,137.7,59.7500000025
37946,707.4375,270.69140625
37921,1713.6000000000001,766.310546875
37960,137.7,52.25390625
37963,106.39999999999999,35.859375
37974,106.39999999999999,10.125
37971,106.39999999999999,21.328125
37958,64.39999999999999,13.475
37947,64.39999999999999,10.125
37969,106.39999999999999,25.3125
37968,900.375,230.82425503000002
37982,106.39999999999999,10.125
37981,137.7,60.9375
37995,1451.8,286.875
37994,106.39999999999999,17.265625
37996,361.259765625,125.55000000000001
38001,1444.8,281.44140625
37851,137.7,54.5000000025
38000,64.39999999999999,15.1875
37988,106.39999999999999,3.260986328125
38007,137.7,56.00390625
38004,361.259765625,183.2298951075
38012,1293.6000000000001,143.4375
38021,306.0,100.775390625
38034,137.7,53.4999999975
38038,988.1999999999999,231.03499996500003
38025,64.39999999999999,10.1689453125
38017,361.259765625,264.0
38032,361.259765625,69.321117578125
38040,936.9599999999999,219.54296875
38019,590.625,470.296875
38010,106.39999999999999,30.375
38036,106.39999999999999,16.17
38042,64.39999999999999,5.0625
38049,315.0,74.453125
38052,64.39999999999999,10.1689453125
38046,361.259765625,187.5
38050,64.39999999999999,20.5
38044,1000.0,86.2939453125
38073,106.39999999999999,21.328125
38067,64.39999999999999,17.265625
38069,64.39999999999999,10.1689453125
38053,106.39999999999999,30.375
38094,106.39999999999999,21.328125
38027,137.7,16.787287499999998
38103,128.25,58.931640625
38117,960.0,93.515625
38091,106.39999999999999,35.859375
37713,216.0,5.594799999999999
38102,106.39999999999999,10.1689453125
38101,1983.75,1714.625
38066,64.39999999999999,15.1875
38062,2310.0,416.3749999875
38115,590.625,179.7617187525
38114,106.39999999999999,11.042562243401889
38095,137.7,42.9140625
38130,128.25,48.9999999975
38108,480.0,124.4765625
38136,900.0,112.73828125
38144,106.39999999999999,0.7012071192490219
38134,361.259765625,173.85
38096,106.39999999999999,52.0189453125
38126,64.39999999999999,10.125
38099,64.39999999999999,10.125
38139,64.39999999999999,10.125
38113,1428.0,330.63671875
37984,592.5,162.2600000325
37924,2244.0,417.0
38154,2142.0,865.6640625
38157,137.7,30.375
38145,262.5,33.4928645845
38166,64.39999999999999,0.7515235992492244
38169,106.39999999999999,21.328125
38167,707.4375,330.0
38163,1176.0,375.841796875
38155,361.259765625,215.7
38195,361.259765625,66.2734374975
38190,255.0,35.859375
38181,255.0,35.859375
38175,255.0,52.7499999975
38173,255.0,48.75
38183,255.0,60.9375
38193,255.0,69.168945315
38182,137.7,20.337890625
38179,106.39999999999999,17.4358333345
38188,106.39999999999999,17.265625
38185,128.25,21.328125
38174,361.259765625,119.3828124975
38208,361.259765625,45.0
38202,64.39999999999999,16.546875
38191,64.39999999999999,17.265625
38189,82.6669921875,1.0232471159195233
38194,128.25,10.1689453125
38192,106.39999999999999,41.85
38177,106.39999999999999,20.25
38215,420.0,62.625
38199,361.259765625,132.0
38221,106.39999999999999,42.65625
38107,361.259765625,108.874999995
38172,936.0,219.54296875
38222,715.0,137.296875
38081,1000.0,163.2500000025
38033,361.259765625,124.249999995
38196,590.625,172.999999995
38218,1983.75,1714.625
38235,64.39999999999999,17.265625
38232,64.39999999999999,17.265625
38223,900.375,396.0
38225,707.4375,142.25218753500002
38253,106.39999999999999,38.59375
38243,137.7,60.9375
38237,64.39999999999999,0
38257,137.7,59.25
38248,128.25,52.25390625
38246,106.39999999999999,15.5390625
38249,361.259765625,115.000000005
38240,361.259765625,107.8749999975
38254,128.25,17.885
38273,361.259765625,162.5625
38252,960.0,188.671875
38262,361.259765625,58.125
38268,361.259765625,62.1249999975
38288,1000.0,408.21484375
38283,106.39999999999999,17.925833334500002
38133,64.39999999999999,10.77734375
38289,106.39999999999999,21.328125
37651,106.39999999999999,15.924999999999999
38281,361.259765625,98.500000005
38123,361.259765625,132.351666668
38271,707.4375,198.0
38267,1531.25,493.55859375
38269,1794.0,998.1875000099999
38275,361.259765625,250.490625
37711,361.259765625,148.381370443875
38226,575.0,5.79268993962
37973,707.4375,148.5649999965
37980,707.4375,298.7500000125
38150,1176.0,82.5649999965
38285,361.259765625,126.9375
38302,361.259765625,63.854895105
38197,361.259765625,159.75
38287,707.4375,15.1875
38300,1176.0,219.54296875
38259,106.39999999999999,16.546875
38207,137.7,53.8749999975
38264,64.39999999999999,0.20671658935089973
38291,2376.0,386.0000000025
38312,361.259765625,63.0
38326,361.259765625,215.70394736999998
38348,361.259765625,126.0
38277,137.7,38.8749999975
38345,106.39999999999999,17.265625
38318,64.39999999999999,10.1689453125
38315,64.39999999999999,0
38320,64.39999999999999,10.125
38349,106.39999999999999,35.859375
38331,590.625,305.85
38327,361.259765625,292.95
38355,106.39999999999999,6.75
38330,64.39999999999999,5.0625
38368,64.39999999999999,12.0
38359,64.39999999999999,25.3125
38352,106.39999999999999,17.4358333345
38362,106.39999999999999,35.859375
38363,900.375,285.427734375
38353,707.4375,367.500000015
38365,1000.0,219.54296875
38351,137.7,53.7500000025
38392,137.7,62.1249999975
38371,422.5,128.7421875
37753,361.259765625,120.0
38058,1040.0,433.15625
38410,361.259765625,115.875
38396,315.0,74.453125
38409,707.4375,219.54296875
38369,361.259765625,151.1000000025
38372,106.39999999999999,52.25390625
38406,300.0,106.640625
38411,64.39999999999999,17.265625
38399,106.39999999999999,60.9375
38383,64.39999999999999,8.2734375
38388,106.39999999999999,71.71875
38381,49.5,1.1064833333989998
38395,106.39999999999999,35.859375
38380,64.39999999999999,21.328125
38415,128.25,50.8749999975
38403,361.259765625,83.7
38418,106.39999999999999,10.1689453125
38404,361.259765625,132.0
38387,361.259765625,167.4
38420,707.4375,158.749999995
37690,5400.0,463.5
38412,707.4375,264.0
38414,128.25,25.3125
38424,106.39999999999999,10.1689453125
38430,106.39999999999999,35.859375
38427,64.39999999999999,3.260986328125
38416,106.39999999999999,16.0883333345
37841,2246.3999999999996,175.00000004999998
37830,1386.0,247.99999995000002
38434,128.25,17.265625
38444,106.39999999999999,17.265625
38451,1209.6000000000001,163.1328125025
38428,361.259765625,58.8750000025
38449,361.259765625,122.374999995
38452,960.0,188.671875
38436,707.4375,188.671875
38446,768.0,219.54296875
38441,2448.0,561.698974609375
